name,market,funding_total_usd,status,state_code,funding_rounds,founded_at,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
Cognio,Hardware + Software,3000000,acquired,MD,1.0,2000-01-01,2007-03-29,2007-03-29,0.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0
Cognitive Match,Advertising,10150000,acquired,NY,3.0,2009-01-01,2009-07-01,2011-05-18,0.0,10150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650000.0,2500000.0,6000000.0,0.0,0.0,0.0,0.0,0.0
Cognovant,Health and Wellness,150000,closed,MO,2.0,,2011-12-02,2012-05-01,0.0,150000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cohuman,Social Media,1400000,acquired,CA,2.0,2009-10-09,2009-09-09,2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ColdSpark,Enterprise Software,6500000,acquired,CO,1.0,2001-01-01,2006-01-01,2006-01-01,0.0,6500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CollabNet,Enterprise Software,12000000,acquired,CA,3.0,1999-05-01,2005-09-06,2014-02-09,0.0,9500000.0,0.0,0.0,0.0,2500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0
Collaborate.com,Collaboration,2350000,acquired,MA,2.0,2011-01-01,2011-03-01,2012-07-01,2350000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CollabRx,nan,1564572,acquired,CA,1.0,2008-01-01,2011-04-14,2011-04-14,0.0,1564572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collactive,Curated Web,2000000,closed,DE,1.0,,2007-01-01,2007-01-01,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collective Intellect,Analytics,15324624,acquired,CO,6.0,2005-01-01,2006-02-01,2012-12-07,0.0,13987239.0,0.0,0.0,1337385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600000.0,6600000.0,0.0,0.0,0.0,0.0,0.0,0.0
